เจ้าพ่อรีสอร์ทวันที่ 1<br>ได้เวลาสร้างรีสอร์ท!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 1
เจ้าพ่อรีสอร์ทวันที่ 2<br>ชายหาดสวยงามสำหรับแขกผู้เข้าพัก!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 2
เจ้าพ่อรีสอร์ทวันที่ 3<br>การก่อสร้างโรงแรมหรูเสร็จแล้ว!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 3
เจ้าพ่อรีสอร์ทวันที่ 4<br>ของขวัญงานเปิดตัว!<br>ได้รับตั๋วแมว 1 ใบ!	วันที่ 4
เจ้าพ่อรีสอร์ทวันที่ 5<br>น้ำผลไม้อัดลมอร่อยถูกใจ!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 5
เจ้าพ่อรีสอร์ทวันที่ 6<br>กิจกรรมสนุกๆ มากมายบนชายหาด!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 6
เจ้าพ่อรีสอร์ทวันที่ 7<br>รีวิวดูดีมาก!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 7
เจ้าพ่อรีสอร์ทวันที่ 8<br>เปิดตัวแคมเปญโฆษณาทั่วโลก!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 8
เจ้าพ่อรีสอร์ทวันที่ 9<br>สินค้าสั่งทำพิเศษสำหรับวางจำหน่าย!<br>ได้รับตั๋วแมว 1 ใบ!	วันที่ 9
เจ้าพ่อรีสอร์ทวันที่ 10<br>กำไรพุ่งสูงปรี๊ด!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 10
เจ้าพ่อรีสอร์ทวันที่ 11<br>ประดับประดาไปด้วยแบรนด์หรู!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 11
เจ้าพ่อรีสอร์ทวันที่ 12<br>ใช้เงินปึกใหญ่พัดตัวเอง!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 12
เจ้าพ่อรีสอร์ทวันที่ 13<br>อาบแดดบนหาดทรายขาว!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 13
เจ้าพ่อรีสอร์ทวันที่ 14<br>ได้รับคำเชิญปาร์ตี้<br>พร้อมตั๋วแรร์ 1 ใบ!	วันที่ 14
เจ้าพ่อรีสอร์ทวันที่ 15<br>เดินทางโดยเฮลิคอปเตอร์เท่านั้น!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 15
เจ้าพ่อรีสอร์ทวันที่ 16<br>สั่งผลไม้เกรดพรีเมียม!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 16
เจ้าพ่อรีสอร์ทวันที่ 17<br>นักแสดงโปรดของฉันอยู่ที่ล็อบบี้!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 17
เจ้าพ่อรีสอร์ทวันที่ 18<br>โรงแรมของเราได้ขึ้นปกนิตยสารแล้ว!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 18
เจ้าพ่อรีสอร์ทวันที่ 19<br>ซ่อนไว้ในกระเป๋าเอกสาร:<br>ได้รับตั๋วแมว 1 ใบ!	วันที่ 19
เจ้าพ่อรีสอร์ทวันที่ 20<br>พร้อมเป็นเจ้ามือค่าอาหารเสมอ!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 20
เจ้าพ่อรีสอร์ทวันที่ 21<br>ยินดีต้อนรับสู่แดนสวรรค์เหมียวส่วนตัว!<br>ได้รับธนบัตรตำนาน 5 ใบ!	วันที่ 21
